t x1 x2 x3
0.00000000 0.000000000000 1.500000000000 -1.200000000000
0.01000000 0.006644493745 1.488015033236 -1.196990038852
0.02000000 0.013244838193 1.476060265113 -1.193960310518
0.03000000 0.019801326693 1.464135892143 -1.190911046996
0.04000000 0.026314250646 1.452242108520 -1.187842479392
0.05000000 0.032783899517 1.440379106134 -1.184754837916
0.06000000 0.039210560847 1.428547074577 -1.181648351883
0.07000000 0.045594520266 1.416746201150 -1.178523249711
0.08000000 0.051936061506 1.404976670878 -1.175379758917
0.09000000 0.058235466415 1.393238666512 -1.172218106120
0.10000000 0.064493014967 1.381532368543 -1.169038517033
0.11000000 0.070708985278 1.369857955209 -1.165841216469
0.12000000 0.076883653612 1.358215602505 -1.162626428333
0.13000000 0.083017294401 1.346605484191 -1.159394375623
0.14000000 0.089110180253 1.335027771800 -1.156145280431
0.15000000 0.095162581963 1.323482634653 -1.152879363938
0.16000000 0.101174768527 1.311970239858 -1.149596846415
0.17000000 0.107147007155 1.300490752330 -1.146297947219
0.18000000 0.113079563281 1.289044334791 -1.142982884797
0.19000000 0.118972700575 1.277631147786 -1.139651876678
0.20000000 0.124826680955 1.266251349687 -1.136305139478
0.21000000 0.130641764599 1.254905096707 -1.132942888896
0.22000000 0.136418209956 1.243592542905 -1.129565339712
0.23000000 0.142156273758 1.232313840195 -1.126172705787
0.24000000 0.147856211032 1.221069138361 -1.122765200063
0.25000000 0.153518275107 1.209858585060 -1.119343034562
0.26000000 0.159142717633 1.198682325832 -1.115906420382
0.27000000 0.164729788586 1.187540504114 -1.112455567701
0.28000000 0.170279736281 1.176433261242 -1.108990685770
0.29000000 0.175792807384 1.165360736468 -1.105511982921
0.30000000 0.181269246919 1.154323066962 -1.102019666555
0.31000000 0.186709298287 1.143320387826 -1.098513943151
0.32000000 0.192113203267 1.132352832103 -1.094995018261
0.33000000 0.197481202035 1.121420530784 -1.091463096509
0.34000000 0.202813533168 1.110523612817 -1.087918381590
0.35000000 0.208110433660 1.099662205120 -1.084361076274
0.36000000 0.213372138930 1.088836432586 -1.080791382399
0.37000000 0.218598882833 1.078046418097 -1.077209500874
0.38000000 0.223790897668 1.067292282527 -1.073615631679
0.39000000 0.228948414193 1.056574144758 -1.070009973863
0.40000000 0.234071661632 1.045892121685 -1.066392725544
0.41000000 0.239160867685 1.035246328225 -1.062764083907
0.42000000 0.244216258541 1.024636877330 -1.059124245209
0.43000000 0.249238058883 1.014063879993 -1.055473404772
0.44000000 0.254226491905 1.003527445259 -1.051811756987
0.45000000 0.259181779315 0.993027680233 -1.048139495312
0.46000000 0.264104141348 0.982564690090 -1.044456812271
0.47000000 0.268993796778 0.972138578086 -1.040763899457
0.48000000 0.273850962922 0.961749445565 -1.037060947529
0.49000000 0.278675855657 0.951397391967 -1.033348146214
0.50000000 0.283468689422 0.941082514842 -1.029625684302
0.51000000 0.288229677233 0.930804909856 -1.025893749652
0.52000000 0.292959030691 0.920564670801 -1.022152529191
0.53000000 0.297656959989 0.910361889605 -1.018402208910
0.54000000 0.302323673925 0.900196656339 -1.014642973867
0.55000000 0.306959379909 0.890069059229 -1.010875008187
0.56000000 0.311564283974 0.879979184666 -1.007098495061
0.57000000 0.316138590783 0.869927117212 -1.003313616748
0.58000000 0.320682503639 0.859912939611 -0.999520554572
0.59000000 0.325196224495 0.849936732798 -0.995719488926
0.60000000 0.329679953960 0.839998575912 -0.991910599269
0.61000000 0.334133891313 0.830098546298 -0.988094064129
0.62000000 0.338558234507 0.820236719522 -0.984270061099
0.63000000 0.342953180180 0.810413169380 -0.980438766843
0.64000000 0.347318923665 0.800627967903 -0.976600357092
0.65000000 0.351655658994 0.790881185373 -0.972755006646
0.66000000 0.355963578912 0.781172890326 -0.968902889374
0.67000000 0.360242874884 0.771503149565 -0.965044178215
0.68000000 0.364493737100 0.761872028168 -0.961179045176
0.69000000 0.368716354488 0.752279589497 -0.957307661338
0.70000000 0.372910914722 0.742725895210 -0.953430196850
0.71000000 0.377077604227 0.733211005265 -0.949546820934
0.72000000 0.381216608189 0.723734977934 -0.945657701883
0.73000000 0.385328110565 0.714297869813 -0.941763007063
0.74000000 0.389412294090 0.704899735824 -0.937862902913
0.75000000 0.393469340282 0.695540629234 -0.933957554946
0.76000000 0.397499429457 0.686220601656 -0.930047127750
0.77000000 0.401502740729 0.676939703064 -0.926131784987
0.78000000 0.405479452025 0.667697981798 -0.922211689396
0.79000000 0.409429740087 0.658495484579 -0.918287002792
0.80000000 0.413353780485 0.649332256509 -0.914357886066
0.81000000 0.417251747621 0.640208341091 -0.910424499191
0.82000000 0.421123814739 0.631123780229 -0.906487001214
0.83000000 0.424970153931 0.622078614243 -0.902545550266
0.84000000 0.428790936146 0.613072881876 -0.898600303556
0.85000000 0.432586331198 0.604106620303 -0.894651417375
0.86000000 0.436356507771 0.595179865142 -0.890699047098
0.87000000 0.440101633429 0.586292650460 -0.886743347181
0.88000000 0.443821874624 0.577445008785 -0.882784471166
0.89000000 0.447517396699 0.568636971114 -0.878822571681
0.90000000 0.451188363901 0.559868566924 -0.874857800437
0.91000000 0.454834939384 0.551139824175 -0.870890308236
0.92000000 0.458457285219 0.542450769329 -0.866920244966
0.93000000 0.462055562400 0.533801427349 -0.862947759606
0.94000000 0.465629930851 0.525191821717 -0.858973000225
0.95000000 0.469180549432 0.516621974434 -0.854996113984
0.96000000 0.472707575951 0.508091906039 -0.851017247135
0.97000000 0.476211167165 0.499601635609 -0.847036545027
0.98000000 0.479691478788 0.491151180774 -0.843054152102
